t,acc_angle,gyro,estimate_angle
0.0,-2.2384362,0.056097567,-0.021607313
0.01,-2.2375252,-0.004878044,-0.06489575
0.02,-2.2375236,0.11707318,-0.12605274
0.03,-2.2381315,0.056097567,-0.20417386
0.04,-2.2374563,0.056097567,-0.29540497
0.049999997,-2.2360475,0.17804879,-0.39518055
0.06,-2.2369292,0.17804879,-0.501573
0.07,-2.2338555,-0.004878044,-0.61305
0.08,-2.2378101,0.11707318,-0.724501
0.089999996,-2.2371488,0.056097567,-0.8352353
0.099999994,-2.2360342,0.11707318,-0.9423493
0.11,-2.2366495,0.11707318,-1.0453312
0.12,-2.235659,0.17804879,-1.1426105
0.13,-2.2377431,0.17804879,-1.2345029
0.14,-2.235822,0.17804879,-1.3203542
0.14999999,-2.2361784,0.11707318,-1.4008337
0.16,-2.2346048,0.11707318,-1.4752152
0.17,-2.2358634,0.056097567,-1.5444881
0.17999999,-2.236827,-0.065853655,-1.6093626
0.19,-2.2360814,0.11707318,-1.6670995
0.19999999,-2.2372434,-0.004878044,-1.7211369
0.21,-2.2356045,0.056097567,-1.7697726
0.22,-2.2368817,-0.004878044,-1.8147937
0.22999999,-2.2375643,0.056097567,-1.8553063
0.24,-2.2343764,0.17804879,-1.8907608
0.25,-2.2364368,0.17804879,-1.9231954
0.26,-2.2374218,0.056097567,-1.9538654
0.26999998,-2.2352805,0.11707318,-1.9809587
0.29,-2.2371895,0.056097567,-2.0075974
0.29999998,-2.2367315,0.056097567,-2.0304441
0.31,-2.2377493,0.056097567,-2.05126
0.32,-2.2360415,0.11707318,-2.069416
0.32999998,-2.2346883,0.17804879,-2.085194
0.34,-2.2366905,-0.004878044,-2.1013434
0.35,-2.2339635,0.056097567,-2.115161
0.35999998,-2.2349467,0.056097567,-2.1277757
0.38,-2.2362854,0.056097567,-2.141626
0.39,-2.236403,0.056097567,-2.1518931
0.39999998,-2.2381487,0.17804879,-2.1602616
0.41,-2.2378306,0.056097567,-2.1689138
0.42,-2.2381344,-0.004878044,-2.1773288
0.42999998,-2.2371757,0.11707318,-2.1837523
0.44,-2.236012,0.11707318,-2.189456
0.45,-2.2379084,0.11707318,-2.1948063
0.45999998,-2.2353764,0.11707318,-2.1994033
0.47,-2.2333646,0.11707318,-2.2033682
0.48,-2.2369633,-0.004878044,-2.2084098
0.48999998,-2.2376068,0.056097567,-2.2124825
0.5,-2.2371478,0.2390244,-2.2144718
0.51,-2.234209,-0.004878044,-2.2181866
0.52,-2.236554,0.11707318,-2.2206745
0.53,-2.23814,0.11707318,-2.2230809
0.53999996,-2.2370524,0.056097567,-2.2257001
0.55,-2.2342997,-0.065853655,-2.2288947
0.56,-2.2368476,-0.065853655,-2.2320282
0.57,-2.2343957,0.17804879,-2.2324147
0.58,-2.2365744,0.056097567,-2.234078
0.59,-2.2378998,-0.065853655,-2.236808
0.59999996,-2.234684,0.11707318,-2.2373023
0.61,-2.2362318,0.17804879,-2.2373502
0.62,-2.233561,0.17804879,-2.2371283
0.63,-2.2357392,-0.004878044,-2.2387903
0.64,-2.2369025,0.11707318,-2.2393026
0.65,-2.2369363,-0.004878044,-2.2408645
0.65999997,-2.2377431,0.056097567,-2.2418003
0.66999996,-2.2387753,0.17804879,-2.2416449
0.68,-2.2371488,0.11707318,-2.2418907
0.69,-2.234326,-0.065853655,-2.2434757
0.7,-2.2376661,0.056097567,-2.244132
0.71,-2.2358613,0.17804879,-2.2434413
0.71999997,-2.2368612,-0.004878044,-2.2445617
0.72999996,-2.237668,0.056097567,-2.2450972
0.74,-2.2367725,-0.004878044,-2.2460341
0.75,-2.2360961,0.11707318,-2.2457066
0.76,-2.2393928,-0.004878044,-2.246833
0.77,-2.2337387,0.056097567,-2.2467282
0.78,-2.2362318,0.056097567,-2.246875
0.78999996,-2.2359517,0.11707318,-2.2464237
0.79999995,-2.2370596,0.11707318,-2.2461221
0.81,-2.235005,0.17804879,-2.2450902
0.82,-2.235097,0.11707318,-2.244713
0.83,-2.2360268,0.17804879,-2.2439122
0.84,-2.236306,0.056097567,-2.2443118
0.84999996,-2.2374218,0.17804879,-2.2436812
0.85999995,-2.2359178,-0.065853655,-2.2451525
0.87,-2.2362463,0.056097567,-2.2454057
0.88,-2.236704,-0.065853655,-2.24677
0.89,-2.2357392,-0.004878044,-2.2473447
0.9,-2.2377086,-0.004878044,-2.2480521
0.90999997,-2.2391663,0.056097567,-2.2482796
0.91999996,-2.2370596,0.056097567,-2.2482653
0.93,-2.2384124,0.11707318,-2.2478328
0.94,-2.2368202,0.17804879,-2.2467284
0.95,-2.2362452,0.11707318,-2.2462187
0.96999997,-2.23582,0.17804879,-2.2470875
0.97999996,-2.235993,0.056097567,-2.2470472
0.98999995,-2.2363572,0.056097567,-2.2470398
1.0,-2.2321284,-0.004878044,-2.2471454
1.01,-2.2356741,0.11707318,-2.2464924
1.02,-2.2351847,0.11707318,-2.245848
1.03,-2.2364314,-0.12682927,-2.247579
1.04,-2.2364504,0.056097567,-2.2474847
1.05,-2.235959,0.056097567,-2.2473416
1.06,-2.2384675,-0.12682927,-2.2491028
1.0699999,-2.237938,-0.065853655,-2.2500756
1.0799999,-2.236368,-0.065853655,-2.250781
1.09,-2.2343988,-0.065853655,-2.251204
1.1,-2.2407715,0.2390244,-2.2494793
1.11,-2.2331245,0.17804879,-2.2476938
1.12,-2.2352517,0.3,-2.2451994
1.13,-2.2326252,-0.065853655,-2.2459705
1.14,-2.240053,0.54390246,-2.2419314
1.15,-2.232128,0.056097567,-2.2418768
1.16,-2.2365053,15.848781,-2.1004186
1.17,-2.2303586,0.056097567,-2.1146908
1.18,-2.2360384,-0.065853655,-2.129274
1.1899999,-2.2345471,-0.004878044,-2.1417556
1.1999999,-2.2362256,0.11707318,-2.1521146
1.2099999,-2.2352839,-0.004878044,-2.1624832
1.22,-2.2389095,0.056097567,-2.1716745
1.23,-2.2351546,-0.065853655,-2.1806939
1.24,-2.2364788,0.056097567,-2.1878767
1.25,-2.2368612,0.17804879,-2.1933093
1.26,-2.2353013,0.17804879,-2.1980631
1.27,-2.2377756,0.17804879,-2.2026143
1.28,-2.2368476,0.3,-2.2055395
1.29,-2.2354674,0.056097567,-2.21024
1.3,-2.2348592,0.11707318,-2.2138705
1.31,-2.2358482,-0.004878044,-2.2183433
1.3199999,-2.2361917,0.056097567,-2.2218604
1.3299999,-2.2326396,0.11707318,-2.2241187
1.3399999,-2.2331958,-0.004878044,-2.2273045
1.35,-2.2353141,0.11707318,-2.2292912